question,option1,option2,option3,option4,answer,audioFileName,imageName
1番,商品を補充する,さくら店に商品を送る,ダイレクトメールの発送の準備をする,店で使用するかざりを作る,商品を補充する,n1q1.mp3,
2番,体験者のビデオを見る,先生にすいせんじょうを依頼する,保険の加入手続きをする,指定科目の成績をかくにんする,指定科目の成績をかくにんする,n1q2.mp3,
3番,見積もりの合計金額を見直す,見積もり金額の内訳を詳しく書く,バスが確保できたかかくにんする,見積書の有効期限を書く,見積もり金額の内訳を詳しく書く,n1q3.mp3,
4番,企画書を修正する,出張の資料を作成する,店の予約をキャンセルする,会食に使う店を探す,企画書を修正する,n1q4.mp3,
5番,研修期間を長くする,店の経営理念を伝える,時給を上げる,業務のしゅうじゅくどを評価する,店の経営理念を伝える,n1q5.mp3,
6番,投書らんを設ける,政策関連の記事に図を用いる,イベント情報の記事を増やす,子育て関連の記事を増やす,政策関連の記事に図を用いる,n1q6.mp3,
1番,料理が冷めにくいから,丈夫で長持ちするから,安くて見た目がはなやかだから,いろいろな調理に使えるから,丈夫で長持ちするから,n1q7.mp3,
2番,上司が応募を快く思わないこと,新しい部署に採用される可能性が低いこと,商品開発の仕事の経験がないこと,不採用だったら今の部署にいづらくなること,不採用だったら今の部署にいづらくなること,n1q8.mp3,
3番,ほかの学校に転校したこと,友達が迎えに来てくれたこと,先生が相談に乗ってくれたこと,同じ経験をもつ人と話せたこと,同じ経験をもつ人と話せたこと,n1q9.mp3,
4番,世界初のロボットの誕生,ロボットの定義づけ,ロボットの社会的使命,ロボット製作に必要な情報処理,ロボットの社会的使命,n1q10.mp3,
5番,集落のいせきとして国内最古のものであること,国内のいせきの中で規模が最も大きいこと,高度な技術で作った道具が見つかったこと,食料として作物を育てていたことがわかったこと,食料として作物を育てていたことがわかったこと,n1q11.mp3,
6番,安全性を確保した通学路にすること,防犯のために街灯の数を増やすこと,住民が交流できる施設を建てること,災害時の避難場所を作ること,安全性を確保した通学路にすること,n1q12.mp3,
7番,政治に関心をもたない人が増えたから,候補者間の主張の違いが不明確だったから,現職の知事の勝利が確実だったから,投票の時期が年末で忙しい人が多かったから,候補者間の主張の違いが不明確だったから,n1q13.mp3,
1番,1,2,3,4,2,n1q14.mp3,
2番,1,2,3,4,4,n1q15.mp3,
3番,1,2,3,4,3,n1q16.mp3,
4番,1,2,3,4,3,n1q17.mp3,
5番,1,2,3,4,1,n1q18.mp3,
6番,1,2,3,4,2,n1q19.mp3,
1番,1,2,3,,2,n1q20.mp3,
2番,1,2,3,,3,n1q21.mp3,
3番,1,2,3,,2,n1q22.mp3,
4番,1,2,3,,3,n1q23.mp3,
5番,1,2,3,,1,n1q24.mp3,
6番,1,2,3,,3,n1q25.mp3,
7番,1,2,3,,3,n1q26.mp3,
8番,1,2,3,,2,n1q27.mp3,
9番,1,2,3,,1,n1q28.mp3,
10番,1,2,3,,2,n1q29.mp3,
11番,1,2,3,,3,n1q30.mp3,
12番,1,2,3,,1,n1q31.mp3,
13番,1,2,3,,2,n1q32.mp3,
14番,1,2,3,,3,n1q33.mp3,
1番,1,2,3,4,2,n1q34.mp3,
2番,1,2,3,4,2,n1q35.mp3,
質問１,富田美術館,アーク美術館,秋山美術館,ポニー美術館,富田美術館,n1q36.mp3,
質問2,富田美術館,アーク美術館,秋山美術館,ポニー美術館,アーク美術館,n1q36.mp3,
