question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,passage_group,sub_question
__の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,しゃかく,しゃっかく,さかく,さっかく,さっかく,,錯覚,"1. 한자 ""錯覚""은 さっかく(착각)로 읽으며, 착각 또는 오인을 의미합니다. 이는 문장의 한자를 바탕으로 한 올바른 읽기입니다.","The kanji ""錯覚"" is read as さっかく, which means *optical illusion* or *misperception*. This is the correct reading based on the kanji in the sentence.",1. 汉字“錯覚”读作さっかく（错觉），意思是错觉或误解。这是根据句子中的汉字得出的正确读音。,1. 漢字「錯覚」讀作さっかく（錯覺），意思是錯覺或誤解。這是根據句子中的漢字得出的正確讀音。,1. 漢字の「錯覚」は「さっかく」と読み、錯覚や思い違いを意味します。これは文中の漢字に基づいた正しい読み方です。,"1. Le kanji ""錯覚"" se lit さっかく (illusion), ce qui signifie illusion ou perception erronée. C'est la bonne lecture basée sur le kanji de la phrase.","1. Kanji ""錯覚"" dibaca さっかく (sakkaku), yang berarti ilusi optik atau salah persepsi. Ini adalah bacaan yang benar berdasarkan kanji dalam kalimat tersebut.","1. El kanji ""錯覚"" se lee como さっかく (sakkaku), que significa ilusión óptica o percepción errónea. Esta es la lectura correcta basada en el kanji de la oración.","1. คันจิ ""錯覚"" อ่านว่า さっかく (ซัคคาคุ) หมายถึง ภาพลวงตา หรือ ความเข้าใจผิด นี่คือคำอ่านที่ถูกต้องตามคันจิในประโยค","1. Chữ Hán ""錯覚"" được đọc là さっかく (ảo giác), có nghĩa là ảo giác hoặc hiểu lầm. Đây là cách đọc chính xác dựa trên chữ Hán trong câu.",P1,この絵は目の錯覚を利用した作品です。
__の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,あやうい,おさない,とうとい,はかない,とうとい,,尊い,"2. 한자 ""尊い""는 とうとい(도토이)로 읽으며, 소중한 또는 귀중한을 의미합니다. 이 읽기는 생명을 소중히 여기고 보호하는 것에 대해 이야기하는 문맥에 적합합니다.","The kanji ""尊い"" is read as とうとい, which means *precious* or *valuable*. This reading fits the context in the sentence which talks about valuing and protecting life.",2. 汉字“尊い”读作とうとい（尊贵/宝贵），意思是宝贵的或珍贵的。这个读音适合句子中谈论珍视和保护生命的语境。,2. 漢字「尊い」讀作とうとい（尊貴/寶貴），意思是寶貴的或珍貴的。這個讀音適合句子中談論珍視和保護生命的語境。,2. 漢字の「尊い」は「とうとい」と読み、貴重な、または価値のあることを意味します。この読み方は、命を大切にし守ることについて語られている文脈に合致しています。,"2. Le kanji ""尊い"" se lit とうとい (précieux), ce qui signifie précieux ou de grande valeur. Cette lecture correspond au contexte de la phrase qui parle de valoriser et de protéger la vie.","2. Kanji ""尊い"" dibaca とうとい (toutoi), yang berarti berharga atau bernilai. Bacaan ini sesuai dengan konteks kalimat yang berbicara tentang menghargai dan melindungi kehidupan.","2. El kanji ""尊い"" se lee como とうとい (toutoi), que significa precioso o valioso. Esta lectura encaja en el contexto de la oración que habla de valorar y proteger la vida.","2. คันจิ ""尊い"" อ่านว่า とうとい (โทโทอิ) หมายถึง ล้ำค่า หรือ มีคุณค่า คำอ่านนี้เหมาะกับบริบทของประโยคที่พูดถึงการให้คุณค่าและการปกป้องชีวิต","2. Chữ Hán ""尊い"" được đọc là とうとい (quý giá), có nghĩa là quý giá hoặc có giá trị. Cách đọc này phù hợp với ngữ cảnh của câu nói về việc trân trọng và bảo vệ sự sống.",P1,尊い命を大切に守ろう。
__の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,こかつ,こけい,かかつ,かけい,こかつ,,枯渇,"3. 한자 ""枯渇""은 こかつ(고갈)로 읽으며, 고갈 또는 메말라 없어짐을 의미합니다. 이 읽기는 천연자원이 소진되는 것을 언급하는 문맥에 적합합니다.","The kanji ""枯渇"" is read as こかつ, which means *depletion* or *running dry*. This reading is appropriate for the context referring to natural resources being exhausted.",3. 汉字“枯渇”读作こかつ（枯竭），意思是枯竭或干涸。这个读音适合提到自然资源被耗尽的语境。,3. 漢字「枯渇」讀作こかつ（枯竭），意思是枯竭或乾涸。這個讀音適合提到自然資源被耗盡的語境。,3. 漢字の「枯渇」は「こかつ」と読み、枯れ果てること、または尽き尽きることを意味します。天然資源が尽きることを言及している文脈に適切な読み方です。,"3. Le kanji ""枯渇"" se lit こかつ (épuisement), ce qui signifie épuisement ou tarissement. Cette lecture est appropriée pour le contexte faisant référence à l'épuisement des ressources naturelles.","3. Kanji ""枯渇"" dibaca こかつ (kokatsu), yang berarti penipisan atau kekeringan. Bacaan ini tepat untuk konteks yang merujuk pada sumber daya alam yang habis.","3. El kanji ""枯渇"" se lee como こかつ (kokatsu), que significa agotamiento o sequía. Esta lectura es apropiada para el contexto que se refiere al agotamiento de los recursos naturales.","3. คันจิ ""枯渇"" อ่านว่า こかつ (โคคัตสึ) หมายถึง การเหือดแห้ง หรือ การหมดไป คำอ่านนี้เหมาะสมกับบริบทที่อ้างถึงทรัพยากรธรรมชาติที่กำลังจะหมดลง","3. Chữ Hán ""枯渇"" được đọc là こかつ (khô cạn), có nghĩa là cạn kiệt hoặc khô hanh. Cách đọc này phù hợp với ngữ cảnh đề cập đến việc tài nguyên thiên nhiên bị cạn kiệt.",P1,このまま使い続けていたら、天然資源はいずれ枯渇してしまうだろう。
__の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,なだめて,なぐさめて,あらためて,とどめて,なぐさめて,,慰めて,"4. 한자 ""慰めて""는 なぐさめて(위로하며)로 읽으며, 위로하다 또는 달래다를 의미합니다. 이 읽기는 편지가 위로를 제공하는 문장의 문맥에 적합합니다.","The kanji ""慰めて"" is read as なぐさめて, which means *to comfort* or *console*. This reading fits the context of the sentence where the letter provides comfort.",4. 汉字“慰めて”读作なぐさめて（安慰），意思是安慰或抚慰。这个读音适合信件提供安慰的句子语境。,4. 漢字「慰めて」讀作なぐさめて（安慰），意思是安慰或撫慰。這個讀音適合信件提供安慰的句子語境。,4. 漢字の「慰めて」は「なぐさめて」と読み、慰めること、または元気づけることを意味します。手紙が慰めを与えているという文脈に合致しています。,"4. Le kanji ""慰めて"" se lit なぐさめて (en réconfortant), ce qui signifie réconforter ou consoler. Cette lecture correspond au contexte de la phrase où la lettre apporte du réconfort.","4. Kanji ""慰めて"" dibaca なぐさめて (nagusomete), yang berarti menghibur atau menenangkan. Bacaan ini sesuai dengan konteks kalimat di mana surat tersebut memberikan penghiburan.","4. El kanji ""慰めて"" se lee como なぐさめて (nagusomete), que significa consolar o reconfortar. Esta lectura encaja en el contexto de la oración donde la carta proporciona consuelo.","4. คันจิ ""慰めて"" อ่านว่า なぐさめて (นากุซาเมเตะ) หมายถึง ปลอบโยน หรือ ทำให้สบายใจ คำอ่านนี้เหมาะกับบริบทของประโยคที่จดหมายช่วยให้เกิดความสบายใจ","4. Chữ Hán ""慰めて"" được đọc là なぐさめて (an ủi), có nghĩa là an ủi hoặc dỗ dành. Cách đọc này phù hợp với ngữ cảnh của câu nơi bức thư mang lại sự an ủi.",P1,その手紙は、私の心を慰めてくれた。
__の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,きょくめい,きょうめい,こくめい,こうめい,こくめい,,克明,"5. 한자 ""克明""은 こくめい(극명)로 읽으며, 자세한 또는 선명한을 의미합니다. 생활의 세부 사항이 철저하게 기록되었음을 나타내는, 문장에 사용된 한자를 바탕으로 한 올바른 읽기입니다.","The kanji ""克明"" is read as こくめい, which means *detailed* or *vivid*. This is the correct reading based on the kanji used in the sentence, indicating that life details were recorded thoroughly.",5. 汉字“克明”读作こくめい（克明/详细），意思是详细的或生动的。这是根据句子中使用的汉字得出的正确读音，表示生活细节被彻底记录下来。,5. 漢字「克明」讀作こくめい（克明/詳細），意思是詳細的或生動的。這是根據句子中使用的漢字得出的正確讀音，表示生活細節被徹底記錄下來。,5. 漢字の「克明」は「こくめい」と読み、詳細な、または丹念なことを意味します。生活の細部が徹底して記録されていることを示す文中の漢字に基づいた正しい読み方です。,"5. Le kanji ""克明"" se lit こくめい (minutieux), ce qui signifie détaillé ou minutieux. C'est la bonne lecture basée sur le kanji utilisé dans la phrase, indiquant que les détails de la vie ont été minutieusement enregistrés.","5. Kanji ""克明"" dibaca こくめい (kokumei), yang berarti detail atau jelas. Ini adalah bacaan yang benar berdasarkan kanji yang digunakan dalam kalimat, yang menunjukkan bahwa detail kehidupan dicatat secara menyeluruh.","5. El kanji ""克明"" se lee como こくめい (kokumei), que significa detallado o vívido. Esta es la lectura correcta basada en el kanji utilizado en la oración, indicando que los detalles de la vida fueron registrados minuciosamente.","5. คันจิ ""克明"" อ่านว่า こくめい (โคคุเม) หมายถึง ละเอียดถี่ถ้วน หรือ ชัดเจน นี่คือคำอ่านที่ถูกต้องตามคันจิที่ใช้ในประโยค ซึ่งบ่งบอกว่ารายละเอียดของชีวิตถูกบันทึกไว้อย่างครบถ้วน","5. Chữ Hán ""克明"" được đọc là こくめい (khắc minh/tỉ mỉ), có nghĩa là chi tiết hoặc rõ ràng. Đây là cách đọc chính xác dựa trên chữ Hán được sử dụng trong câu, chỉ ra rằng các chi tiết của cuộc sống được ghi lại một cách kỹ lưỡng.",P1,この文書には、当時の生活の様子が克明に記憶されている。
__の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,きんぱく,ぎんぱく,きんばく,ぎんばく,きんぱく,,緊迫,"6. 한자 ""緊迫""은 きんぱく(긴박)로 읽으며, 긴박 또는 긴장됨을 의미합니다. 이는 문장의 한자를 바탕으로 한 올바른 읽기입니다.","The kanji ""緊迫"" is read as きんぱく, which means *tension* or *being tense*. This is the correct reading based on the kanji in the sentence.",6. 汉字“緊迫”读作きんぱく（紧迫），意思是紧迫或紧张。这是根据句子中的汉字得出的正确读音。,6. 漢字「緊迫」讀作きんぱく（緊迫），意思是緊迫或緊張。這是根據句子中的漢字得出的正確讀音。,6. 漢字の「緊迫」は「きんぱく」と読み、差し迫ること、または緊張することを意味します。これは文中の漢字に基づいた正しい読み方です。,"6. Le kanji ""緊迫"" se lit きんぱく (tension), ce qui signifie tension ou urgence. C'est la bonne lecture basée sur le kanji de la phrase.","6. Kanji ""緊迫"" dibaca きんぱく (kinpaku), yang berarti ketegangan atau menjadi tegang. Ini adalah bacaan yang benar berdasarkan kanji dalam kalimat tersebut.","6. El kanji ""緊迫"" se lee como きんぱく (kinpaku), que significa tensión o estar tenso. Esta es la lectura correcta basada en el kanji de la oración.","6. คันจิ ""緊迫"" อ่านว่า きんぱく (คินปาคุ) หมายถึง ความตึงเครียด หรือ ภาวะตึงเครียด นี่คือคำอ่านที่ถูกต้องตามคันจิในประโยค","6. Chữ Hán ""緊迫"" được đọc là きんぱく (khẩn trương/căng thẳng), có nghĩa là căng thẳng hoặc cấp bách. Đây là cách đọc chính xác dựa trên chữ Hán trong câu.",P1,試合会場には緊迫した雰囲気が漂っていた。
（　　　）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。,存続,存亡,依存,現存,存続,,,"7. 이 문장의 문맥은 회사의 운영을 미래까지 유지하는 것에 관한 것입니다. 存続(そんぞく, 존속)은 ""계속"" 또는 ""존재 유지""를 의미하므로, 회사를 계속 운영해야 할 필요성을 직접적으로 다루고 있어 가장 적합합니다.","The context of the sentence is about maintaining the company’s operations into the future. 存続 (そんぞく) means ""continuation"" or ""maintaining existence,"" making it the best fit as it directly addresses the need to keep the company going.",7. 这句话的语境是关于维持公司未来的运营。存続（そんぞく，存续）意思是“继续”或“维持存在”，因为它直接解决了保持公司运营的需求，所以是最合适的。,7. 這句話的語境是關於維持公司未來的營運。存続（そんぞく，存續）意思是「繼續」或「維持存在」，因為它直接解決了保持公司營運的需求，所以是最合適的。,7. この文の文脈は、会社の運営を将来に向けて維持することについてです。「存続（そんぞく）」は「引き続き存在すること」や「保ち続けること」を意味し、会社を継続させる必要性に直接対応しているため、最も適しています。,"7. Le contexte de la phrase concerne le maintien des activités de l'entreprise à l'avenir. 存続 (そんぞく) signifie ""continuation"" ou ""maintien de l'existence"", ce qui en fait le meilleur choix car il répond directement à la nécessité de faire perdurer l'entreprise.","7. Konteks kalimat ini adalah tentang mempertahankan operasi perusahaan di masa depan. 存続 (そんぞく) berarti ""kelangsungan"" atau ""mempertahankan keberadaan"", menjadikannya pilihan yang paling tepat karena secara langsung membahas perlunya menjaga agar perusahaan tetap berjalan.","7. El contexto de la oración trata sobre mantener las operaciones de la empresa en el futuro. 存続 (そんぞく) significa ""continuación"" o ""mantener la existencia"", siendo la mejor opción ya que aborda directamente la necesidad de mantener la empresa en marcha.","7. บริบทของประโยคนี้เกี่ยวกับการรักษาการดำเนินงานของบริษัทในอนาคต 存続 (そんぞく) หมายถึง ""การดำรงอยู่ต่อไป"" หรือ ""การรักษาสถานภาพไว้"" จึงเป็นตัวเลือกที่ดีที่สุดเพราะตรงกับความจำเป็นในการประคองบริษัทให้ดำเนินต่อไป","7. Ngữ cảnh của câu này là về việc duy trì hoạt động của công ty trong tương lai. 存続 (そんぞく) có nghĩa là ""tiếp tục"" hoặc ""duy trì sự tồn tại"", làm cho nó trở thành lựa chọn phù hợp nhất vì nó trực tiếp giải quyết nhu cầu giữ cho công ty tiếp tục hoạt động.",P2,会社を（　　　）させるためには、経営の改善が不可欠である。
（　　　）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。,系,帯,圏,派,派,,,"8. 이 문장은 공항 건설에 관한 설문조사 결과를 논하며, 어느 그룹이 다수 의견을 가졌는지 강조합니다. 賛成派(さんせいは, 찬성파)는 공항 건설에 찬성하는 사람들의 그룹을 의미하는 ""지지 그룹"" 또는 ""지지 파벌""을 뜻합니다. 이는 의견이 여러 그룹으로 나뉘는 것을 설명하므로 문맥에 맞습니다.","The sentence discusses the results of a survey about airport construction, highlighting which group had the majority opinion. 賛成派 (さんせいは) refers to the ""supporting group"" or ""supporting faction,"" which means the group of people who are in favor of the airport construction. This fits the context of the sentence, as it describes a division of opinion into groups.",8. 这句话讨论了关于机场建设的调查结果，突出了哪个群体占多数意见。賛成派（さんせいは，赞成派）指的是“支持群体”或“支持派别”，即支持机场建设的人群。这符合句子的语境，因为它描述了意见分歧形成的群体。,8. 這句話討論了關於機場建設的調查結果，突出了哪個群體佔多數意見。賛成派（さんせいは，贊成派）指的是「支持群體」或「支持派別」，即支持機場建設的人群。這符合句子的語境，因為它描述了意見分歧形成的群體。,8. この文は、空港建設に関する調査結果について言及し、どのグループが多数派であったかを強調しています。「賛成派（さんせいは）」は「支持するグループ」や「賛成する派閥」を指し、空港建設に賛成する人々を意味します。意見がグループに分かれていることを説明しているため、文脈に合っています。,"8. La phrase discute des résultats d'une enquête sur la construction d'un aéroport, en soulignant quel groupe avait l'opinion majoritaire. 賛成派 (さんせいは) désigne le ""groupe favorable"" ou la ""faction partisane"", c'est-à-dire le groupe de personnes qui sont pour la construction de l'aéroport. Cela correspond au contexte de la phrase, car cela décrit la division des opinions en groupes.","8. Kalimat ini membahas hasil survei tentang pembangunan bandara, menyoroti kelompok mana yang memiliki pendapat mayoritas. 賛成派 (さんせいは) merujuk pada ""kelompok pendukung"" atau ""faksi pendukung"", yang berarti sekelompok orang yang mendukung pembangunan bandara. Ini sesuai dengan konteks kalimat, karena menggambarkan pembagian pendapat ke dalam beberapa kelompok.","8. La oración discute los resultados de una encuesta sobre la construcción de un aeropuerto, destacando qué grupo tenía la opinión mayoritaria. 賛成派 (さんせいは) se refiere al ""grupo a favor"" o ""facción de apoyo"", es decir, el grupo de personas que están a favor de la construcción del aeropuerto. Esto encaja en el contexto de la oración, ya que describe una división de opiniones en grupos.","8. ประโยคกล่าวถึงผลการสำรวจเกี่ยวกับการก่อสร้างสนามบิน โดยเน้นว่ากลุ่มใดมีความคิดเห็นส่วนใหญ่ 賛成派 (さんせいは) หมายถึง ""กลุ่มที่สนับสนุน"" ซึ่งก็คือกลุ่มคนที่เห็นด้วยกับการสร้างสนามบิน สิ่งนี้ตรงกับบริบทของประโยคเนื่องจากเป็นการอธิบายการแบ่งความคิดเห็นออกเป็นกลุ่มๆ","8. Câu này thảo luận về kết quả của một cuộc khảo sát về việc xây dựng sân bay, làm nổi bật nhóm nào có ý kiến chiếm đa số. 賛成派 (さんせいは) chỉ ""nhóm ủng hộ"" hoặc ""phe ủng hộ"", nghĩa là nhóm người ủng hộ việc xây dựng sân bay. Điều này phù hợp với ngữ cảnh của câu, vì nó mô tả sự phân chia ý kiến thành các nhóm.",P2,空港建設に関する調査では、賛成（　　　）が多数を占めた。
（　　　）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。,風土,風習,風物,風情,風習,,,"9. 이 문장은 축하할 때 떡을 먹는 문화적 관습에 대해 논합니다. 風習(ふうしゅう, 풍습)은 오랫동안 이어져 온 지역 전통을 설명하므로 문맥에 완벽하게 들어맞는 관습적 실천이나 전통을 뜻합니다.",The sentence discusses a cultural practice related to eating mochi during celebrations. 風習 (ふうしゅう) refers to a customary practice or tradition that fits the context perfectly since the sentence describes a long-standing regional tradition.,9. 这句话讨论了与庆祝活动吃麻糬有关的文化习俗。風習（ふうしゅう，风俗）指的是习俗或传统，它完美契合语境，因为句子描述了一个历史悠久的地区传统。,9. 這句話討論了與慶祝活動吃麻糬有關的文化習俗。風習（ふうしゅう，風俗）指的是習俗或傳統，它完美契合語境，因為句子描述了一個歷史悠久的地區傳統。,9. この文は、お祝いの時にお餅を食べる文化的な習慣について述べています。「風習（ふうしゅう）」は、地域に古くから伝わる習慣や伝統を指すため、文脈に完璧に合致しています。,"9. La phrase évoque une pratique culturelle consistant à manger du mochi lors de célébrations. 風習 (ふうしゅう) désigne une coutume ou une tradition locale, ce qui correspond parfaitement au contexte puisque la phrase décrit une tradition régionale de longue date.",9. Kalimat tersebut membahas praktik budaya yang berkaitan dengan makan mochi selama perayaan. 風習 (ふうしゅう) merujuk pada praktik adat atau tradisi yang sangat sesuai dengan konteks karena kalimat tersebut menggambarkan tradisi daerah yang sudah berlangsung lama.,"9. La oración habla sobre una práctica cultural relacionada con comer mochi durante las celebraciones. 風習 (ふうしゅう) se refiere a una práctica habitual o tradición, lo cual encaja perfectamente en el contexto ya que la oración describe una tradición regional de larga data.",9. ประโยคพูดถึงธรรมเนียมทางวัฒนธรรมที่เกี่ยวข้องกับการกินโมจิในช่วงเฉลิมฉลอง 風習 (ふうしゅう) หมายถึง ประเพณีหรือธรรมเนียมปฏิบัติ ซึ่งเข้ากับบริบทอย่างสมบูรณ์เนื่องจากประโยคอธิบายถึงประเพณีท้องถิ่นที่มีมายาวนาน,"9. Câu này thảo luận về một phong tục văn hóa liên quan đến việc ăn mochi trong các dịp lễ kỷ niệm. 風習 (ふうしゅう) chỉ một tập tục hoặc truyền thống, hoàn toàn phù hợp với ngữ cảnh vì câu này mô tả một truyền thống địa phương đã có từ lâu đời.",P2,この地方には、昔からお祝いのとき餅を食べる（　　　）がある。
（　　　）に入れるのに最もよいものを、１・２・３・４から一つ選びなさい。,堅苦しかった,あじけなかった,厚かましかった,もどかしかった,もどかしかった,,,"10. 이 문장은 화자가 곤경에 처한 친구를 도울 수 없어 좌절감이나 조바심을 느끼는 상황을 설명합니다. もどかしい(과거형으로 もどかしかった, 안타깝다/답답하다)라는 단어는 행동하거나 문제를 해결할 수 없는 것에 대한 짜증이나 조바심을 표현하므로 이러한 감정을 완벽하게 포착합니다.","The sentence describes a situation where the speaker is unable to help a friend who is in trouble, leading to feelings of frustration or impatience. The word もどかしい (もどかしかった as a past tense) perfectly captures this feeling, as it expresses a sense of vexation or impatience over an inability to act or resolve an issue.",10. 这句话描述了说话者无法帮助陷入困境的朋友，从而产生挫败感或焦躁感的情况。もどかしい（过去式为もどかしかった，令人着急/焦躁）这个词完美地捕捉了这种感觉，因为它表达了对无法采取行动或解决问题而产生的烦躁或焦急。,10. 這句話描述了說話者無法幫助陷入困境的朋友，從而產生挫敗感或焦躁感的情況。もどかしい（過去式為もどかしかった，令人著急/焦躁）這個詞完美地捕捉了這種感覺，因為它表達了對無法採取行動或解決問題而產生的煩躁或焦急。,10. この文は、話者が困っている友人を助けることができず、フラストレーションや焦りを感じている状況を描写しています。「もどかしい（過去形で「もどかしかった」）」という言葉は、行動できなかったり問題を解決できなかったりするもどかしさや苛立ちを表現しており、この感情を完璧に捉えています。,"10. La phrase décrit une situation où le locuteur est incapable d'aider un ami en difficulté, ce qui entraîne un sentiment de frustration ou d'impatience. Le mot もどかしい (au passé もどかしかった, frustrant/irritant) capture parfaitement ce sentiment, car il exprime un sentiment d'irritation face à l'incapacité d'agir ou de résoudre un problème.","10. Kalimat ini menggambarkan situasi di mana pembicara tidak dapat membantu teman yang sedang dalam masalah, yang menyebabkan perasaan frustrasi atau tidak sabar. Kata もどかしい (bentuk lampaunya もどかしかった, merasa kesal/gemas) dengan sempurna menangkap perasaan ini, karena mengungkapkan rasa jengkel atau ketidaksabaran atas ketidakmampuan untuk bertindak atau menyelesaikan masalah.","10. La oración describe una situación en la que el hablante no puede ayudar a un amigo en problemas, lo que genera sentimientos de frustración o impaciencia. La palabra もどかしい (もどかしかった en pasado) captura perfectamente este sentimiento, ya que expresa una sensación de irritación o impaciencia por la incapacidad de actuar o resolver un problema.","10. ประโยคอธิบายสถานการณ์ที่ผู้พูดไม่สามารถช่วยเหลือเพื่อนที่กำลังเดือดร้อนได้ นำไปสู่ความรู้สึกหงุดหงิดหรือร้อนใจ คำว่า もどかしい (รูปอดีตคือ もどかしかった, อึดอัดใจ/หงุดหงิด) จับความรู้สึกนี้ได้อย่างสมบูรณ์ เพราะเป็นการแสดงความรำคาญหรือความร้อนใจจากความไม่สามารถลงมือทำหรือแก้ปัญหาได้","10. Câu này mô tả tình huống mà người nói không thể giúp đỡ một người bạn đang gặp rắc rối, dẫn đến cảm giác thất vọng hoặc mất kiên nhẫn. Từ もどかしい (thì quá khứ là もどかしかった, bực bội/sốt ruột) nắm bắt hoàn hảo cảm giác này, vì nó thể hiện sự bực tức hoặc sốt ruột do không thể hành động hoặc giải quyết vấn đề.",P2,友人が困っているのに何もできず、とても（　　　）。
